Iteration,Trajectory,Legibility
1,"[[ 0.       0.09883  2.07329  0.      -2.17212  1.5708 ]
 [ 0.       0.15545  2.09251  0.      -2.24796  1.5708 ]
 [ 0.       0.2028   2.11378  0.      -2.31658  1.5708 ]
 [ 0.       0.24201  2.13678  0.      -2.37879  1.5708 ]
 [ 0.       0.2742   2.16124  0.      -2.43543  1.5708 ]
 [ 0.       0.30034  2.18694  0.      -2.48728  1.5708 ]
 [ 3.14159  2.26787  1.91587 -3.14159  1.04213  1.5708 ]
 [ 3.14159 -1.4969   1.55109  3.14159 -3.08742  1.5708 ]
 [-3.14159 -1.40284  1.51644  0.       3.02799 -1.5708 ]
 [ 0.      -2.5193   1.20321  3.14159 -1.31611 -1.5708 ]
 [ 0.      -2.4675   1.17339 -0.       1.29411  1.5708 ]
 [ 0.      -2.41877  1.143   -0.       1.27577  1.5708 ]
 [ 0.      -2.37273  1.11208  0.       1.26065  1.5708 ]
 [-0.      -2.32906  1.08066  0.       1.24839  1.5708 ]
 [-0.      -2.28747  1.04879 -0.       1.23868  1.5708 ]
 [-0.      -2.24771  1.01646  0.       1.23124  1.5708 ]
 [-0.      -2.20956  0.98371 -0.       1.22585  1.5708 ]
 [-0.      -2.17283  0.95054  0.       1.22229  1.5708 ]
 [-0.      -2.13736  0.91696 -0.       1.2204   1.5708 ]
 [-0.      -2.10298  0.88295  0.       1.22003  1.5708 ]]","[[0.3923061007153503, 0.47547117825033164, 0.4604887970568769], 0.4427553586741863]"
Iteration,Trajectory,Legibility
1,"[[-0.      -1.5708   1.309    0.      -1.3212   0.     ]
 [-0.00005 -1.57062  1.30882 -0.      -1.3224  -0.     ]
 [-0.00006 -1.57058  1.30878 -0.      -1.3236   0.     ]
 [-0.00007 -1.57056  1.30877 -0.      -1.32479 -0.     ]
 [-0.00007 -1.57056  1.30877 -0.      -1.32598  0.     ]
 [-0.00006 -1.57057  1.30878 -0.      -1.32716  0.     ]
 [-0.00006 -1.57058  1.30879 -0.      -1.32833 -0.     ]
 [-0.00006 -1.5706  -3.14178 -0.      -2.18167 -0.     ]
 [-0.00005 -1.57061 -3.14177 -0.      -2.18167 -0.     ]
 [-0.00005 -1.57063 -3.14175 -0.      -2.18167 -0.     ]
 [-0.00004 -1.57064 -3.14174 -0.      -2.18167 -0.     ]
 [-0.00004 -1.57066 -3.14172 -0.      -2.18167 -0.     ]
 [-0.00003 -1.57067 -3.14171 -0.      -2.18167 -0.     ]
 [-0.00003 -1.57069 -3.14169 -0.      -2.18167 -0.     ]
 [-0.00003 -1.57071 -3.14168 -0.      -2.18167 -0.     ]
 [-0.00002 -1.57072 -3.14167 -0.      -2.18166 -0.     ]
 [-0.00002 -1.57074 -3.14165 -0.      -2.18166 -0.     ]
 [-0.00001 -1.57075 -3.14164 -0.      -2.18166 -0.     ]
 [-0.00001 -1.57077 -3.14162 -0.      -2.18166 -0.     ]
 [ 0.      -1.5708  -3.14159  0.      -2.18166  0.     ]]","[[0.5129583805855928, 0.5218966073244141, 0.5803645265214702], 0.5384065048104923]"
Iteration,Trajectory,Legibility
1,"[[-0.      -1.5708   1.309    0.      -1.3212   0.     ]
 [-0.00005 -1.57062  1.30882 -0.      -1.3224  -0.     ]
 [-0.00006 -1.57058  1.30878 -0.      -1.3236   0.     ]
 [-0.00007 -1.57056  1.30877 -0.      -1.32479 -0.     ]
 [-0.00007 -1.57056  1.30877 -0.      -1.32598  0.     ]
 [-0.00006 -1.57057  1.30878 -0.      -1.32716  0.     ]
 [-0.00006 -1.57058  1.30879 -0.      -1.32833 -0.     ]
 [-0.00006 -1.5706  -3.14178 -0.      -2.18167 -0.     ]
 [-0.00005 -1.57061 -3.14177 -0.      -2.18167 -0.     ]
 [-0.00005 -1.57063 -3.14175 -0.      -2.18167 -0.     ]
 [-0.00004 -1.57064 -3.14174 -0.      -2.18167 -0.     ]
 [-0.00004 -1.57066 -3.14172 -0.      -2.18167 -0.     ]
 [-0.00003 -1.57067 -3.14171 -0.      -2.18167 -0.     ]
 [-0.00003 -1.57069 -3.14169 -0.      -2.18167 -0.     ]
 [-0.00003 -1.57071 -3.14168 -0.      -2.18167 -0.     ]
 [-0.00002 -1.57072 -3.14167 -0.      -2.18166 -0.     ]
 [-0.00002 -1.57074 -3.14165 -0.      -2.18166 -0.     ]
 [-0.00001 -1.57075 -3.14164 -0.      -2.18166 -0.     ]
 [-0.00001 -1.57077 -3.14162 -0.      -2.18166 -0.     ]
 [ 0.      -1.5708  -3.14159  0.      -2.18166  0.     ]]","[[0.5129583805855928, 0.5218966073244141, 0.5803645265214702], 0.5384065048104923]"
Iteration,Trajectory,Legibility
1,"[[ 0.      -1.5708  -3.14159  0.      -2.18166  0.     ]
 [-0.00021 -1.57098 -3.14152 -0.      -2.18155  0.     ]
 [-0.00028 -1.57101 -3.14149 -0.      -2.18155  0.     ]
 [-0.00033 -1.57102 -3.14147 -0.      -2.18156  0.     ]
 [-0.00037 -1.57102 -3.14146 -0.      -2.18157  0.     ]
 [-0.00038 -1.57101 -3.14145 -0.      -2.18159  0.     ]
 [-0.00038 -1.571   -3.14145 -0.      -2.1816   0.     ]
 [-0.00037 -1.57099 -3.14146 -0.      -2.18161  0.     ]
 [-0.00035 -1.57097 -3.14146 -0.      -2.18162  0.     ]
 [-0.00032 -1.57096 -3.14147 -0.      -2.18162  0.     ]
 [-0.0003  -1.57094 -3.14148 -0.      -2.18163  0.     ]
 [-0.00027 -1.57093 -3.14149 -0.      -2.18163  0.     ]
 [-0.00024 -1.57091 -3.1415  -0.      -2.18163  0.     ]
 [-0.00021 -1.5709  -3.14152 -0.      -2.18164  0.     ]
 [-0.00018 -1.57088 -3.14153 -0.      -2.18164  0.     ]
 [-0.00015 -1.57087 -3.14154 -0.      -2.18164  0.     ]
 [-0.00012 -1.57085 -3.14155 -0.      -2.18165  0.     ]
 [-0.00009 -1.57084 -3.14156 -0.      -2.18165  0.     ]
 [-0.00006 -1.57083 -3.14157 -0.      -2.18165  0.     ]
 [ 0.      -1.5708  -3.14159  0.      -2.18166  0.     ]]","[[0.9011779976920539, 0.8687744649867898, 0.665423314795928], 0.8117919258249239]"
Iteration,Trajectory,Legibility
1,"[[-0.      -1.97824  1.31855  0.      -0.91111  0.     ]
 [-0.00005 -1.9548   1.28469  0.      -0.90069 -0.     ]
 [-0.00005 -1.93202  1.2506   0.      -0.88938 -0.     ]
 [-0.00005 -1.90986  1.21642  0.      -0.87736 -0.     ]
 [-0.00005 -1.88818  1.18211  0.      -0.86472 -0.     ]
 [-0.00004 -1.8669   1.14765  0.      -0.85155 -0.     ]
 [-0.00004 -1.84592  1.11304  0.      -0.83792 -0.     ]
 [-0.00004 -1.82517  1.07825  0.      -0.82387 -0.     ]
 [-0.00004 -1.80461  1.04326  0.      -0.80945 -0.     ]
 [-0.00003 -1.78418  1.00806  0.      -0.79468 -0.     ]
 [-0.00003 -1.76385  0.97264  0.      -0.77958 -0.     ]
 [-0.00003 -1.74358  0.93697  0.      -0.76418 -0.     ]
 [-0.00002 -1.72333  0.90103  0.      -0.74849 -0.     ]
 [-0.00002 -1.70309  0.86481  0.      -0.73252 -0.     ]
 [-0.00002 -1.68281  0.82828  0.      -0.71627 -0.     ]
 [-0.00001 -1.66248  0.79143  0.      -0.69974 -0.     ]
 [-0.00001 -1.64207  0.75422  0.      -0.68295 -0.     ]
 [-0.00001 -1.62157  0.71665  0.      -0.66588 -0.     ]
 [-0.00001 -1.60094  0.67867  0.      -0.64853 -0.     ]
 [ 0.      -1.58016  0.64026 -0.      -0.6309  -0.     ]]","[[0.4258879731118557, 0.5226955543332095, 0.5009844890076819], 0.4831893388175823]"
